Full Name,Email ID,Phone Number,Alternate Phone,Alternate Email,City,State/Region,Organisation,Enquiry Date,Status Notes,Source Campaign,Ready to Move In,Additional Comments
Lead 15,lead15@gmail.com,9812345678,9911223344,leadalt15@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 16,lead16@gmail.com,9812345678,9911223344,leadalt16@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 17,lead17@gmail.com,9812345678,9911223344,leadalt17@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 18,lead18@gmail.com,9812345678,9911223344,leadalt18@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 19,lead19@gmail.com,9812345678,9911223344,leadalt19@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 20,lead20@gmail.com,9812345678,9911223344,leadalt20@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 21,lead21@gmail.com,9812345678,9911223344,leadalt21@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 22,lead22@gmail.com,9812345678,9911223344,leadalt22@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 23,lead23@gmail.com,9812345678,9911223344,leadalt23@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 24,lead24@gmail.com,9812345678,9911223344,leadalt24@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 25,lead25@gmail.com,9812345678,9911223344,leadalt25@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 26,lead26@gmail.com,9812345678,9911223344,leadalt26@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 27,lead27@gmail.com,9812345678,9911223344,leadalt27@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 28,lead28@gmail.com,9812345678,9911223344,leadalt28@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 29,lead29@gmail.com,9812345678,9911223344,leadalt29@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 30,lead30@gmail.com,9812345678,9911223344,leadalt30@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 31,lead31@gmail.com,9812345678,9911223344,leadalt31@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 32,lead32@gmail.com,9812345678,9911223344,leadalt32@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 33,lead33@gmail.com,9812345678,9911223344,leadalt33@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 34,lead34@gmail.com,9812345678,9911223344,leadalt34@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 35,lead35@gmail.com,9812345678,9911223344,leadalt35@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 36,lead36@gmail.com,9812345678,9911223344,leadalt36@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 37,lead37@gmail.com,9812345678,9911223344,leadalt37@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 38,lead38@gmail.com,9812345678,9911223344,leadalt38@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 39,lead39@gmail.com,9812345678,9911223344,leadalt39@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 40,lead40@gmail.com,9812345678,9911223344,leadalt40@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 41,lead41@gmail.com,9812345678,9911223344,leadalt41@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 42,lead42@gmail.com,9812345678,9911223344,leadalt42@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 43,lead43@gmail.com,9812345678,9911223344,leadalt43@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 44,lead44@gmail.com,9812345678,9911223344,leadalt44@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 45,lead45@gmail.com,9812345678,9911223344,leadalt45@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 46,lead46@gmail.com,9812345678,9911223344,leadalt46@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 47,lead47@gmail.com,9812345678,9911223344,leadalt47@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 48,lead48@gmail.com,9812345678,9911223344,leadalt48@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 49,lead49@gmail.com,9812345678,9911223344,leadalt49@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 50,lead50@gmail.com,9812345678,9911223344,leadalt50@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 51,lead51@gmail.com,9812345678,9911223344,leadalt51@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 52,lead52@gmail.com,9812345678,9911223344,leadalt52@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 53,lead53@gmail.com,9812345678,9911223344,leadalt53@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 54,lead54@gmail.com,9812345678,9911223344,leadalt54@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 55,lead55@gmail.com,9812345678,9911223344,leadalt55@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 56,lead56@gmail.com,9812345678,9911223344,leadalt56@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 57,lead57@gmail.com,9812345678,9911223344,leadalt57@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 58,lead58@gmail.com,9812345678,9911223344,leadalt58@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 59,lead59@gmail.com,9812345678,9911223344,leadalt59@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 60,lead60@gmail.com,9812345678,9911223344,leadalt60@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 61,lead61@gmail.com,9812345678,9911223344,leadalt61@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 62,lead62@gmail.com,9812345678,9911223344,leadalt62@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 63,lead63@gmail.com,9812345678,9911223344,leadalt63@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 64,lead64@gmail.com,9812345678,9911223344,leadalt64@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 65,lead65@gmail.com,9812345678,9911223344,leadalt65@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 66,lead66@gmail.com,9812345678,9911223344,leadalt66@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 67,lead67@gmail.com,9812345678,9911223344,leadalt67@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 68,lead68@gmail.com,9812345678,9911223344,leadalt68@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 69,lead69@gmail.com,9812345678,9911223344,leadalt69@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 70,lead70@gmail.com,9812345678,9911223344,leadalt70@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 71,lead71@gmail.com,9812345678,9911223344,leadalt71@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 72,lead72@gmail.com,9812345678,9911223344,leadalt72@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 73,lead73@gmail.com,9812345678,9911223344,leadalt73@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 74,lead74@gmail.com,9812345678,9911223344,leadalt74@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 75,lead75@gmail.com,9812345678,9911223344,leadalt75@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 76,lead76@gmail.com,9812345678,9911223344,leadalt76@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 77,lead77@gmail.com,9812345678,9911223344,leadalt77@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 78,lead78@gmail.com,9812345678,9911223344,leadalt78@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 79,lead79@gmail.com,9812345678,9911223344,leadalt79@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 80,lead80@gmail.com,9812345678,9911223344,leadalt80@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 81,lead81@gmail.com,9812345678,9911223344,leadalt81@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 82,lead82@gmail.com,9812345678,9911223344,leadalt82@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 83,lead83@gmail.com,9812345678,9911223344,leadalt83@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 84,lead84@gmail.com,9812345678,9911223344,leadalt84@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 85,lead85@gmail.com,9812345678,9911223344,leadalt85@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 86,lead86@gmail.com,9812345678,9911223344,leadalt86@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 87,lead87@gmail.com,9812345678,9911223344,leadalt87@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 88,lead88@gmail.com,9812345678,9911223344,leadalt88@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 89,lead89@gmail.com,9812345678,9911223344,leadalt89@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 90,lead90@gmail.com,9812345678,9911223344,leadalt90@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 91,lead91@gmail.com,9812345678,9911223344,leadalt91@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 92,lead92@gmail.com,9812345678,9911223344,leadalt92@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 93,lead93@gmail.com,9812345678,9911223344,leadalt93@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 94,lead94@gmail.com,9812345678,9911223344,leadalt94@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 95,lead95@gmail.com,9812345678,9911223344,leadalt95@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 96,lead96@gmail.com,9812345678,9911223344,leadalt96@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 97,lead97@gmail.com,9812345678,9911223344,leadalt97@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 98,lead98@gmail.com,9812345678,9911223344,leadalt98@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 99,lead99@gmail.com,9812345678,9911223344,leadalt99@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 100,lead100@gmail.com,9812345678,9911223344,leadalt100@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 101,lead101@gmail.com,9812345678,9911223344,leadalt101@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 102,lead102@gmail.com,9812345678,9911223344,leadalt102@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 103,lead103@gmail.com,9812345678,9911223344,leadalt103@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 104,lead104@gmail.com,9812345678,9911223344,leadalt104@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 105,lead105@gmail.com,9812345678,9911223344,leadalt105@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 106,lead106@gmail.com,9812345678,9911223344,leadalt106@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 107,lead107@gmail.com,9812345678,9911223344,leadalt107@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 108,lead108@gmail.com,9812345678,9911223344,leadalt108@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 109,lead109@gmail.com,9812345678,9911223344,leadalt109@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 110,lead110@gmail.com,9812345678,9911223344,leadalt110@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 111,lead111@gmail.com,9812345678,9911223344,leadalt111@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 112,lead112@gmail.com,9812345678,9911223344,leadalt112@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 113,lead113@gmail.com,9812345678,9911223344,leadalt113@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 114,lead114@gmail.com,9812345678,9911223344,leadalt114@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 115,lead115@gmail.com,9812345678,9911223344,leadalt115@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 116,lead116@gmail.com,9812345678,9911223344,leadalt116@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 117,lead117@gmail.com,9812345678,9911223344,leadalt117@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 118,lead118@gmail.com,9812345678,9911223344,leadalt118@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 119,lead119@gmail.com,9812345678,9911223344,leadalt119@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
Lead 120,lead120@gmail.com,9812345678,9911223344,leadalt120@yahoo.com,Bangalore,Karnataka,Acme Corp,10/07/2026 14:30,Called but no response yet,Meridian Tower FB Campaign,Ready to move,Interested in 2BHK
